sku_id,title,description,availability,condition,price,link,image_link,video_link,brand,additional_image_link,age_group,gender,google_product_category,product_type,shipping
ground,SOLUM GROUND Kit — Complete Men's Body Ritual,"Properly clean for the first time, head to toe. The GROUND kit fixes what a daily shower misses: a back you can't reach, dead skin that dulls and traps odour, and skin that's dry by midday.

Inside the kit:
01 Body Wash · Gentle everywhere, strips nothing, cleans everything.
02 Italy Towel Mitt · Smoother skin and less odour from the first use.
03 Back Scrub Cloth · A back that's finally, properly clean.
04 Scalp Massager · Thicker-looking hair and no scalp odour.
05 Atlas Clay Mask · Clearer skin from emptied, deep-cleaned pores.
07 Body Lotion · Restores and hydrates within the 3-minute window.
08 Cleansing Cloth · Gentle daily exfoliation, no odour.

Sold as a complete kit only, not available individually. One-time purchase, free UK delivery.",in stock,new,65.00 GBP,https://bysolum.co.uk/buy?kit=ground,https://bysolum.co.uk/products/kit/ground.webp,https://d2ni3owln6t6zz.cloudfront.net/video/banner/banner_1080.mp4,SOLUM,"https://bysolum.co.uk/products/01/still.webp,https://bysolum.co.uk/products/02/use-1.webp,https://bysolum.co.uk/products/03/use-1.webp,https://bysolum.co.uk/products/04/still.webp,https://bysolum.co.uk/products/05/still.webp,https://bysolum.co.uk/products/07/still.webp,https://bysolum.co.uk/products/08/use-1.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp",adult,male,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care > Body Care,GB::Standard:0.00 GBP:Free UK Delivery
ritual,SOLUM RITUAL Kit — Complete Men's Body Ritual,"Everything in GROUND, plus the weekly oil ritual most men wish they'd started years ago. Not just clean but fed: smoother skin, less odour, no midday dryness.

Inside the kit:
01 Body Wash · Gentle everywhere, strips nothing, cleans everything.
02 Italy Towel Mitt · Smoother skin and less odour from the first use.
03 Back Scrub Cloth · A back that's finally, properly clean.
04 Scalp Massager · Thicker-looking hair and no scalp odour.
05 Atlas Clay Mask · Clearer skin from emptied, deep-cleaned pores.
06 Argan Body Oil · Skin properly fed, not just moisturised.
07 Body Lotion · Restores and hydrates within the 3-minute window.
08 Cleansing Cloth · Gentle daily exfoliation, no odour.
11 Clay Mixing Bowl · Mixes your weekly mask the right way.

Sold as a complete kit only, not available individually. One-time purchase, free UK delivery.",in stock,new,85.00 GBP,https://bysolum.co.uk/buy?kit=ritual,https://bysolum.co.uk/products/kit/still.webp,https://d2ni3owln6t6zz.cloudfront.net/video/banner/banner_1080.mp4,SOLUM,"https://bysolum.co.uk/products/01/still.webp,https://bysolum.co.uk/products/02/use-1.webp,https://bysolum.co.uk/products/03/use-1.webp,https://bysolum.co.uk/products/04/still.webp,https://bysolum.co.uk/products/05/still.webp,https://bysolum.co.uk/products/06/still.webp,https://bysolum.co.uk/products/07/still.webp,https://bysolum.co.uk/products/08/use-1.webp,https://bysolum.co.uk/products/11/still.webp,https://bysolum.co.uk/products/kit/use-1.webp",adult,male,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care > Body Care,GB::Standard:0.00 GBP:Free UK Delivery
